"phenomenon_time";"id_aq_legal_station";"c6h6";"co";"no";"no2";"o3";"nox"
"2018-03-01 11:00:00";26;NULL;"0.27";NULL;"44.54";"24.49";NULL
"2018-03-01 12:00:00";26;NULL;"0.3";NULL;"43.95";"21.97";NULL
"2018-03-01 13:00:00";26;NULL;"0.38";NULL;"43.96";"19.36";NULL
"2018-03-01 14:00:00";26;NULL;"0.42";NULL;"41.63";"19.94";NULL
"2018-03-01 15:00:00";26;NULL;"0.35";NULL;"38.09";"23.63";NULL
"2018-03-01 16:00:00";26;NULL;"0.29";NULL;"39.24";"36.3";NULL
"2018-03-01 17:00:00";26;NULL;"0.29";NULL;"39.11";"47.89";NULL
"2018-03-01 18:00:00";26;NULL;"0.31";NULL;"39.45";"42.38";NULL
"2018-03-01 19:00:00";26;NULL;"0.31";NULL;"42.04";"38.76";NULL
"2018-03-01 20:00:00";26;NULL;"0.3";NULL;"42.26";"33.81";NULL
"2018-03-01 21:00:00";26;NULL;"0.23";NULL;"37.9";"68.9";NULL
"2018-03-01 22:00:00";26;NULL;"0.19";NULL;"24.1";"81.11";NULL
"2018-03-01 23:00:00";26;NULL;"0.17";NULL;"16.01";"88.63";NULL
"2018-03-02 00:00:00";26;NULL;"0.18";NULL;"17.18";"84.3";NULL
"2018-03-02 01:00:00";26;NULL;"0.19";NULL;"21.04";"82.07";NULL
"2018-03-02 02:00:00";26;NULL;"0.18";NULL;"25.81";"82.85";NULL
"2018-03-02 03:00:00";26;NULL;"0.18";NULL;"21.65";"84.62";NULL
"2018-03-02 04:00:00";26;NULL;"0.19";NULL;"19.22";"85.42";NULL
"2018-03-02 05:00:00";26;NULL;"0.17";NULL;"20.03";"79.88";NULL
"2018-03-02 06:00:00";26;NULL;"0.19";NULL;"26.63";"63.37";NULL
"2018-03-02 07:00:00";26;NULL;"0.25";NULL;"43.95";"37.9";NULL
"2018-03-02 08:00:00";26;NULL;"0.36";NULL;"65.58";"20.44";NULL
"2018-03-02 09:00:00";26;NULL;"0.3";NULL;"66.84";"33.81";NULL
"2018-03-02 10:00:00";26;NULL;"0.22";NULL;"55.06";"68.92";NULL
"2018-03-02 11:00:00";26;NULL;"0.24";NULL;"47.2";"66.55";NULL
"2018-03-02 12:00:00";26;NULL;"0.31";NULL;"58.2";"54.61";NULL
"2018-03-02 13:00:00";26;NULL;"0.35";NULL;"67.71";"52.66";NULL
