id;fuel;emission_standard;registration_year;class
626;petrol;ece 15/04;1992;car
627;petrol;euro 1;1993;car
628;petrol;euro 1;1994;car
629;petrol;euro 1;1995;car
630;petrol;euro 1;1996;car
631;petrol;euro 2;1997;car
632;petrol;euro 2;1998;car
633;petrol;euro 2;1999;car
634;petrol;euro 2;2000;car
635;petrol;euro 3;2001;car
636;petrol;euro 3;2002;car
637;petrol;euro 3;2003;car
638;petrol;euro 3;2004;car
639;petrol;euro 3;2005;car
640;petrol;euro 4;2006;car
646;petrol;euro 5;2012;car
647;petrol;euro 5;2013;car
648;petrol;euro 5;2014;car
649;petrol;euro 6 up to 2016;2015;car
650;petrol;euro 6 up to 2016;2016;car
651;petrol;euro 6 2017-2019;2017;car
652;petrol;ece 15/04;1989;car
582;petrol;euro 4;2006;car
583;petrol;euro 4;2007;car
584;petrol;euro 4;2008;car
585;petrol;euro 4;2009;car
586;petrol;euro 4;2010;car
587;petrol;euro 5;2011;car
588;petrol;euro 5;2012;car
589;petrol;euro 5;2013;car
590;petrol;euro 5;2014;car
591;petrol;euro 6 up to 2016;2015;car
592;petrol;euro 6 up to 2016;2016;car
593;petrol;euro 6 2017-2019;2017;car
594;petrol;ece 15/04;1989;car
595;petrol;ece 15/04;1990;car
596;petrol;ece 15/04;1991;car
597;petrol;ece 15/04;1992;car
598;petrol;euro 1;1993;car
599;petrol;euro 1;1994;car
600;petrol;euro 1;1995;car
601;petrol;euro 1;1996;car
605;petrol;euro 2;2000;car
606;petrol;euro 3;2001;car
607;petrol;euro 3;2002;car
608;petrol;euro 3;2003;car
609;petrol;euro 3;2004;car
610;petrol;euro 3;2005;car
611;petrol;euro 4;2006;car
612;petrol;euro 4;2007;car
613;petrol;euro 4;2008;car
614;petrol;euro 4;2009;car
615;petrol;euro 4;2010;car
616;petrol;euro 5;2011;car
617;petrol;euro 5;2012;car
618;petrol;euro 5;2013;car
619;petrol;euro 5;2014;car
620;petrol;euro 6 up to 2016;2015;car
621;petrol;euro 6 up to 2016;2016;car
622;petrol;euro 6 2017-2019;2017;car
623;petrol;ece 15/04;1989;car
641;petrol;euro 4;2007;car
642;petrol;euro 4;2008;car
643;petrol;euro 4;2009;car
644;petrol;euro 4;2010;car
645;petrol;euro 5;2011;car
