"segment_number","node_start","node_end","id_road_section"
2,"5238024696","252400937","22661933"
3,"252400937","3886975164","22661933"
0,"243066403","243066407","22661934"
0,"243066413","243066412","22661937"
1,"243066412","267114282","22661937"
0,"243066410","267114296","22661939"
1,"267114296","267115396","22661939"
2,"267115396","243066414","22661939"
0,"34756886","34756889","22697497"
0,"933399643","1270508659","22697547"
0,"1270509020","1270508974","22811469"
0,"223553021","223552999","22811471"
1,"223552999","266330680","22811471"
2,"266330680","264101673","22811471"
3,"264101673","245394219","22811471"
0,"248093946","248093928","23011645"
0,"2051933116","243466461","23011649"
1,"243466461","58850762","23011649"
2,"58850762","224024091","23011649"
0,"248093940","248093911","23011654"
1,"248093911","248093936","23011654"
0,"5954403023","692965976","23011656"
0,"1270508713","1270508825","23011657"
1,"1270508825","1270509064","23011657"
0,"34756850","1618978788","23011658"
1,"1618978788","248093954","23011658"
0,"248093954","248093953","23011659"
0,"248093953","248093943","23011660"
0,"248093950","1456091997","23011661"
0,"248093958","248093911","23011665"
1,"248093911","248093901","23011665"
0,"248093926","3056557938","23011667"
0,"694829628","248096808","23011972"
0,"32039340","260551164","23022479"
0,"30438747","248219384","23022651"
0,"632249753","248219384","23022652"
0,"248808639","248808638","23058139"
1,"248808638","248808653","23058139"
2,"248808653","248808636","23058139"
0,"30438758","4226040449","23058140"
0,"30438631","248808640","23058141"
0,"248808655","248808656","23058145"
0,"248808654","248808655","23058146"
1,"248808655","248808653","23058146"
0,"248808662","248808666","23058147"
0,"248922056","248922057","23067515"
0,"248922158","259474533","23067519"
0,"263695699","263695702","23067601"
1,"263695702","248922785","23067601"
2,"248922785","296483978","23067601"
3,"296483978","263701679","23067601"
4,"263701679","263701682","23067601"
5,"263701682","248922787","23067601"
6,"248922787","263701665","23067601"
7,"263701665","263701666","23067601"
8,"263701666","263701670","23067601"
9,"263701670","248922789","23067601"
10,"248922789","248922792","23067601"
11,"248922792","263701654","23067601"
12,"263701654","263701645","23067601"
13,"263701645","1130113586","23067601"
14,"1130113586","263700447","23067601"
0,"248924049","248924039","23067756"
0,"248924059","5799789070","23067759"
1,"5799789070","248924088","23067759"
2,"248924088","2594333340","23067759"
0,"248924040","296397559","23067760"
0,"296376081","296399883","23067761"
1,"296399883","296399884","23067761"
2,"296399884","265025339","23067761"
3,"265025339","249092460","23067761"
0,"248924088","296397540","23067765"
0,"248924052","248924040","23067769"
1,"248924040","1619563459","23067769"
0,"248924105","248924106","23067771"
1,"248924106","248924098","23067771"
0,"248924034","1619563474","23067772"
1,"1619563474","248924098","23067772"
0,"248932619","919731543","23068494"
0,"248932621","274103555","23068495"
0,"59475407","248932624","23068496"
1,"248932624","248932625","23068496"
2,"248932625","248951003","23068496"
0,"248935423","683834235","23068732"
0,"248935429","683834235","23068733"
1,"683834235","248935425","23068733"
0,"267823862","248935429","23068736"
0,"1332251375","248932620","23069990"
1,"248932620","248932621","23069990"
2,"248932621","248950998","23069990"
3,"248950998","1332252004","23069990"
0,"248951000","248932627","23069991"
0,"248951001","248951002","23069993"
0,"263695667","263695668","23069995"
