"road_type","id_vehicle","vehicles_percentage","road_slope"
"urban",553,"80",NULL
"rural",553,"10",NULL
"highway",553,"10",NULL
"urban",554,"80",NULL
"rural",554,"10",NULL
"highway",554,"10",NULL
"urban",555,"80",NULL
"highway",557,"10",NULL
"rural",561,"10",NULL
"urban",565,"80",NULL
"highway",568,"10",NULL
"rural",572,"10",NULL
"urban",576,"80",NULL
"highway",579,"10",NULL
"rural",583,"10",NULL
"urban",587,"80",NULL
"highway",590,"10",NULL
"urban",594,"80",NULL
"rural",594,"10",NULL
"highway",594,"10",NULL
"urban",595,"80",NULL
"rural",595,"10",NULL
"highway",595,"10",NULL
"urban",596,"80",NULL
"rural",596,"10",NULL
"highway",596,"10",NULL
"urban",597,"80",NULL
"rural",597,"10",NULL
"highway",597,"10",NULL
"urban",598,"80",NULL
"rural",598,"10",NULL
"highway",598,"10",NULL
"urban",599,"80",NULL
"rural",599,"10",NULL
"highway",599,"10",NULL
"urban",600,"80",NULL
"rural",600,"10",NULL
"highway",600,"10",NULL
"urban",601,"80",NULL
"rural",601,"10",NULL
"highway",601,"10",NULL
"urban",602,"80",NULL
"rural",602,"10",NULL
"highway",602,"10",NULL
"urban",603,"80",NULL
"rural",603,"10",NULL
"highway",603,"10",NULL
"urban",604,"80",NULL
"rural",604,"10",NULL
"highway",604,"10",NULL
"urban",605,"80",NULL
"rural",605,"10",NULL
"highway",605,"10",NULL
"urban",606,"80",NULL
"rural",606,"10",NULL
"highway",606,"10",NULL
"urban",607,"80",NULL
"rural",607,"10",NULL
"highway",607,"10",NULL
"urban",608,"80",NULL
"rural",608,"10",NULL
"highway",608,"10",NULL
"urban",609,"80",NULL
"rural",609,"10",NULL
"highway",609,"10",NULL
"urban",610,"80",NULL
"rural",610,"10",NULL
"highway",610,"10",NULL
"urban",611,"80",NULL
"rural",611,"10",NULL
"highway",611,"10",NULL
"urban",612,"80",NULL
"rural",612,"10",NULL
"highway",612,"10",NULL
"urban",613,"80",NULL
"rural",613,"10",NULL
"highway",613,"10",NULL
"urban",614,"80",NULL
"rural",614,"10",NULL
"highway",614,"10",NULL
"urban",615,"80",NULL
"rural",615,"10",NULL
"highway",615,"10",NULL
"urban",616,"80",NULL
"rural",616,"10",NULL
"highway",616,"10",NULL
"rural",619,"10",NULL
"urban",623,"80",NULL
"highway",626,"10",NULL
"rural",630,"10",NULL
"urban",634,"80",NULL
"highway",637,"10",NULL
"rural",641,"10",NULL
"urban",645,"80",NULL
"highway",648,"10",NULL
"rural",652,"10",NULL
